📺央视频道,#genre#
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226635/1.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226736/1.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226705/1.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226823/1.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226694/1.m3u8
CCTV-2,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV-3,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226720/1.m3u8
CCTV-4,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226725/1.m3u8
CCTV-5,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226731/1.m3u8
CCTV-5+,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8
CCTV-6,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226699/1.m3u8
CCTV-7,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226721/1.m3u8
CCTV-8,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226715/1.m3u8
CCTV-9,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226651/1.m3u8
CCTV-9,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226657/1.m3u8
CCTV-10,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226708/1.m3u8
CCTV-11,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226714/1.m3u8
CCTV-12,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226723/1.m3u8
CCTV-12,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226748/1.m3u8
CCTV-13,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226717/1.m3u8
CCTV-14,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226645/1.m3u8
CCTV-14,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226663/1.m3u8
CCTV-15,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226648/1.m3u8
CCTV-16,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226825/1.m3u8
CCTV-17,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226727/1.m3u8
CCTV-17,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226660/1.m3u8

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227161/1.m3u8
浙江卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226690/1.m3u8
湖南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226698/1.m3u8
北京卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226719/1.m3u8
湖北卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226713/1.m3u8
黑龙江卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226716/1.m3u8
安徽卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226655/1.m3u8
安徽卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226664/1.m3u8
重庆卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226680/1.m3u8
东方卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226734/1.m3u8
东南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226670/1.m3u8
东南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226675/1.m3u8
甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8$山东酒店源-cache:http://47.104.102.192/ZHGXTV/Public/json/live_interface.txt
甘肃卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226662/1.m3u8
广西卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226681/1.m3u8
贵州卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226672/1.m3u8
贵州卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226676/1.m3u8
海南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226679/1.m3u8
海南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226683/1.m3u8
河北卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226684/1.m3u8
河北卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226665/1.m3u8
河南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226668/1.m3u8
河南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226687/1.m3u8
吉林卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226671/1.m3u8
江苏卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226692/1.m3u8
江西卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226726/1.m3u8
江西卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226682/1.m3u8
辽宁卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226689/1.m3u8
内蒙古卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226685/1.m3u8
宁夏卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226691/1.m3u8
青海卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226696/1.m3u8
山东卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226693/1.m3u8
山西卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226704/1.m3u8
陕西卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226707/1.m3u8
四川卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226697/1.m3u8
深圳卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226688/1.m3u8
天津卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226686/1.m3u8
西藏卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226710/1.m3u8
新疆卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226700/1.m3u8
云南卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226709/1.m3u8

☘️广东频道,#genre#
广东体育,https://mg.345564.xyz/proxy.php?url=https://cdn2.163189.xyz/live/gdty/stream.m3u8
广东卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227161/1.m3u8
深圳卫视,https://mg.345564.xyz/proxy.php?url=http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226688/1.m3u8

☘️浙江频道,#genre#
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8$山东酒店源-cache:http://47.104.102.192/ZHGXTV/Public/json/live_interface.txt
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8$山东酒店源-cache:http://47.104.102.192/ZHGXTV/Public/json/live_interface.txt
